sku,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label
I0001254,images/I0001254.jpg,I0001254,images/I0001254.jpg,I0001254,images/I0001254.jpg,I0001254
I0007475,images/I0007475.jpg,I0007475,images/I0007475.jpg,I0007475,images/I0007475.jpg,I0007475
I0013005,images/I0013005.jpg,I0013005,images/I0013005.jpg,I0013005,images/I0013005.jpg,I0013005
I0014556,images/I0014556.jpg,I0014556,images/I0014556.jpg,I0014556,images/I0014556.jpg,I0014556
I0014791,images/I0014791.jpg,I0014791,images/I0014791.jpg,I0014791,images/I0014791.jpg,I0014791
I0014792,images/I0014792.jpg,I0014792,images/I0014792.jpg,I0014792,images/I0014792.jpg,I0014792
I0014796,images/I0014796.jpg,I0014796,images/I0014796.jpg,I0014796,images/I0014796.jpg,I0014796
I0018107,images/I0018107.jpg,I0018107,images/I0018107.jpg,I0018107,images/I0018107.jpg,I0018107
I0018417,images/I0018417.jpg,I0018417,images/I0018417.jpg,I0018417,images/I0018417.jpg,I0018417
I0018741,images/I0018741.jpg,I0018741,images/I0018741.jpg,I0018741,images/I0018741.jpg,I0018741
I0019573,images/I0019573.jpg,I0019573,images/I0019573.jpg,I0019573,images/I0019573.jpg,I0019573
I0019753,images/I0019753.jpg,I0019753,images/I0019753.jpg,I0019753,images/I0019753.jpg,I0019753
I0021730,images/I0021730.jpg,I0021730,images/I0021730.jpg,I0021730,images/I0021730.jpg,I0021730
I0028151,images/I0028151.jpg,I0028151,images/I0028151.jpg,I0028151,images/I0028151.jpg,I0028151
I0028170,images/I0028170.jpg,I0028170,images/I0028170.jpg,I0028170,images/I0028170.jpg,I0028170
I0028768,images/I0028768.jpg,I0028768,images/I0028768.jpg,I0028768,images/I0028768.jpg,I0028768
I0029607,images/I0029607.jpg,I0029607,images/I0029607.jpg,I0029607,images/I0029607.jpg,I0029607
I0034402,images/I0034402.jpg,I0034402,images/I0034402.jpg,I0034402,images/I0034402.jpg,I0034402
I0037511,images/I0037511.jpg,I0037511,images/I0037511.jpg,I0037511,images/I0037511.jpg,I0037511
I0037839,images/I0037839.jpg,I0037839,images/I0037839.jpg,I0037839,images/I0037839.jpg,I0037839
I0038299,images/I0038299.jpg,I0038299,images/I0038299.jpg,I0038299,images/I0038299.jpg,I0038299
I0038575,images/I0038575.jpg,I0038575,images/I0038575.jpg,I0038575,images/I0038575.jpg,I0038575
I0039583,images/I0039583.jpg,I0039583,images/I0039583.jpg,I0039583,images/I0039583.jpg,I0039583
I0040522,images/I0040522.jpg,I0040522,images/I0040522.jpg,I0040522,images/I0040522.jpg,I0040522
I0040613,images/I0040613.jpg,I0040613,images/I0040613.jpg,I0040613,images/I0040613.jpg,I0040613
I0041152,images/I0041152.jpg,I0041152,images/I0041152.jpg,I0041152,images/I0041152.jpg,I0041152
I0042259,images/I0042259.jpg,I0042259,images/I0042259.jpg,I0042259,images/I0042259.jpg,I0042259
